S.No,University Name,State/UT,Type,Year Established
403,"Dr. B.R. Ambedkar University, Etcherla, Dt. Srikakulam-532410,",Unknown,Unknown,
404,"Dravidian University, Srinivasanam, -517 425, Chittoor District,",Unknown,Unknown,
405,"Dr. Y.S.R Architecture and Fine Arts University, Kadapa, Andhra",Unknown,Unknown,
406,Pradesh (State University),Unknown,Unknown,
407,"University,",Unknown,Unknown,
408,Pradesh. (State University),Unknown,Unknown,
409,Dr. N.T.R. University of Health Sciences (Formerly Andhra Pradesh,Unknown,Unknown,
410,"University of Health Sciences), Vijayawada-520 008, Andhra Pradesh.",Unknown,Unknown,
411,"Gandhi Institute of Technology and Management (GITAM), Gandhi",Unknown,Unknown,
412,Pradesh.(Deemed University),Unknown,Unknown,
413,"Jawaharlal Nehru Technological University, Anantpur-515 002,",Unknown,Unknown,
414,Andhra Pradesh (State University),Unknown,Unknown,
415,"Jawaharlal Nehru Technological University - Gurajada, Vizianagram",Unknown,Unknown,
416,(Deemed University),Unknown,Unknown,
417,"KREA University, 5655, Central, Expressway, Sri City-517646, Andhra",Unknown,Unknown,
418,Pradesh (Private University),Unknown,Unknown,
419,"Krishna University, Andhra Jateeya Kalasala, Campus, Rajupeta,",Unknown,Unknown,
420,"Rajiv Gandhi University of Knowledge Technologies Andhra Pradesh,",Unknown,Unknown,
421,"Rayalaseema University, Pasupula Village, Nandyal Road, Kurnool –",Unknown,Unknown,
422,"518 002, Andhra Pradesh. (State University)",Unknown,Unknown,
423,"Saveetha Amaravati University, 3rd Floor, Vaishnavi Complex, Opposite",Unknown,Unknown,
424,"Sri Krishnadevaraya University, Anantapur-515 003, Andhra Pradesh.",Unknown,Unknown,
425,Pradesh. (StateUniversity),Unknown,Unknown,
426,"Sri Sathya Sai Institute of Higher Learning, Prasanthinilayam,",Unknown,Unknown,
427,"Anantapur-515 134, Andhra Pradesh. (Deemed University)",Unknown,Unknown,
428,"Sri Venkateswara University, Tirupati-517 502, Andhra Pradesh.",Unknown,Unknown,
429,"Sri Venkateswara Vedic University, Alipiri-Chandragiri Bypass Road,",Unknown,Unknown,
430,"Tirupati-517502, Andhra Pradesh. (State University)",Unknown,Unknown,
431,"Sri Venkateswara Veterinary University, Dr. YSR Bhavan, Tirupati –",Unknown,Unknown,
432,"517 502, Andhra Pradesh. (State University)",Unknown,Unknown,
433,"Sri Venkateswara Institute of Medical Sciences, Alipuri Road,",Unknown,Unknown,
434,"Tirupati – 517 507, Andhra Pradesh. (State University)",Unknown,Unknown,
435,"SRM University, Neerukonda-Kuragallu Village, Mangalagiri Mandal,",Unknown,Unknown,
436,"Guntur District-522502, Andhra Pradesh.  (Private University)",Unknown,Unknown,
437,"The National Sanskrit University, Tirupati, Chittoor District, Andhra",Unknown,Unknown,
438,Pradesh  – 517507 (Central University w.e.f. 30.04.2020),Unknown,Unknown,
439,"(Formerly Rashtriya Sanskrit Vidyapeeth, Deemed to be University)",Unknown,Unknown,
440,"Vikrama Simhapuri University, Kakutur, Venkatachalam (M.D), Nellore,",Unknown,Unknown,
441,Andhra Pradesh- 524320. (State University),Unknown,Unknown,
